device_type,brand,model,release_year,os,form_factor,cpu_brand,cpu_model,cpu_tier,cpu_cores,cpu_threads,cpu_base_ghz,cpu_boost_ghz,gpu_brand,gpu_model,gpu_tier,vram_gb,ram_gb,storage_type,storage_gb,storage_drive_count,display_type,display_size_in,resolution,refresh_hz,battery_wh,charger_watts,psu_watts,wifi,bluetooth,weight_kg,warranty_months,price
Laptop,Acer,Acer Legion 1R9,2019,Windows,Workstation,AMD,AMD Ryzen 5 7243,3,8,16,2.4,3.2,NVIDIA,RTX 40 60,2,6,16,SSD,1024,1,VA,17.3,1920x1080,144,60,45,0,Wi-Fi 5,4.2,1.44,12,1516.99
Desktop,Lenovo,Lenovo Strix HLM,2021,ChromeOS,Micro-ATX,Intel,Intel i3-11529,1,6,12,2.4,3.3,NVIDIA,RTX 40 50,1,4,8,HDD,512,1,OLED,24.0,2560x1440,165,0,0,650,Wi-Fi 6,5.1,10.0,24,1300.99
Laptop,Lenovo,Lenovo Creator O61,2020,Windows,2-in-1,Intel,Intel i5-11971,2,8,16,2.2,3.0,NVIDIA,RTX 30 60,2,6,16,NVMe,2048,1,QLED,16.0,1920x1080,60,90,45,0,Wi-Fi 5,4.2,2.03,24,1716.99
Desktop,Apple,Apple Strix YJ7,2023,macOS,Full-Tower,Apple,Apple M3 Pro,5,18,18,3.2,4.0,Apple,Apple Integrated,4,0,64,NVMe,256,3,LED,34.0,3840x2160,165,0,0,1000,Wi-Fi 5,5.0,11.0,12,2691.99
Desktop,Dell,Dell Pro YKM,2023,Windows,Micro-ATX,Intel,Intel i7-13489,5,18,36,3.2,4.2,NVIDIA,RTX 40 80 Ti,5,12,96,SSD,512,2,QLED,34.0,1920x1080,144,0,0,550,Wi-Fi 6E,5.3,10.0,12,2160.99
Desktop,Lenovo,Lenovo Pro MAJ,2024,Windows,Full-Tower,AMD,AMD Ryzen 7 4321,4,12,24,3.0,4.0,NVIDIA,RTX 30 80,4,10,64,HDD,512,4,IPS,24.0,2560x1440,60,0,0,1200,Wi-Fi 7,5.0,7.0,12,1649.99
Desktop,Lenovo,Lenovo Station GN8,2022,Windows,SFF,AMD,AMD Ryzen 3 3158,1,4,8,2.4,3.2,NVIDIA,RTX 30 50,1,4,8,NVMe,2048,1,QLED,27.0,2560x1440,60,0,0,850,Wi-Fi 6,5.2,7.0,12,1365.99
Laptop,Acer,Acer Pro TY0,2024,macOS,Gaming,Intel,Intel i3-14394,1,4,8,2.0,3.1,NVIDIA,RTX 30 50,1,4,8,NVMe,2048,2,VA,15.6,2560x1600,60,60,90,0,Wi-Fi 6,5.1,3.0,12,1359.99
Laptop,Apple,Apple Zen CUO,2021,Windows,Gaming,Apple,Apple M1 Max,2,8,8,2.2,3.1,Apple,Apple Integrated,2,0,16,NVMe,2048,1,LED,15.6,2560x1600,60,90,65,0,Wi-Fi 5,5.2,1.1,48,1855.99
Laptop,Razer,Razer Blade CHV,2023,Windows,Ultrabook,AMD,AMD Ryzen 5 7918,3,8,16,2.4,3.3,NVIDIA,RTX 20 70,3,8,32,NVMe,1024,1,LED,14.0,1920x1080,120,56,120,0,Wi-Fi 6,5.2,1.57,12,1932.99
Laptop,Apple,Apple Air BHS,2018,macOS,Workstation,Apple,Apple M1 Pro,3,8,8,2.4,3.3,Apple,Apple Integrated,1,4,16,NVMe,512,1,LED,15.6,1920x1080,120,56,65,0,Wi-Fi 6,5.2,1.7,12,1887.99
Desktop,Acer,Acer Creator MBF,2020,macOS,Full-Tower,AMD,AMD Ryzen 5 5847,2,6,12,2.6,3.7,NVIDIA,RTX 40 70,3,8,16,Hybrid,256,4,OLED,24.0,2560x1440,120,0,0,300,Wi-Fi 6E,5.2,15.0,24,1894.99
Desktop,Acer,Acer Pro BXE,2020,macOS,Micro-ATX,Intel,Intel i5-12291,2,8,16,2.6,3.7,AMD,RX 6000 60,2,6,16,SSD,1024,3,VA,32.0,1920x1080,120,0,0,550,Wi-Fi 6,5.2,6.0,12,1435.99
Laptop,Acer,Acer Nitro QNA,2020,Windows,Workstation,AMD,AMD Ryzen 5 7302,3,8,16,2.4,3.4,Apple,Apple Integrated,3,4,32,SSD,1024,1,QLED,16.0,3840x2160,60,60,90,0,Wi-Fi 6,5.0,2.53,12,2116.99
Laptop,Gigabyte,Gigabyte Stealth 6JQ,2024,Windows,Mainstream,Intel,Intel i5-12747,2,6,12,2.2,3.3,AMD,RX 5000 50,1,4,8,Hybrid,1024,2,IPS,17.3,3840x2160,90,70,120,0,Wi-Fi 5,5.2,1.24,12,1643.99
Desktop,HP,HP Station 2DD,2025,Windows,SFF,AMD,AMD Ryzen 7 6854,4,16,32,3.0,3.9,NVIDIA,RTX 30 80,4,10,64,NVMe,512,2,QLED,27.0,2560x1440,120,0,0,450,Wi-Fi 6,5.2,10.0,48,2117.99
Laptop,Dell,Dell Stealth VD5,2018,macOS,Mainstream,AMD,AMD Ryzen 5 5884,3,10,20,2.4,3.2,AMD,RX 5000 70,3,8,32,Hybrid,512,1,Mini-LED,16.0,1920x1080,90,60,45,0,Wi-Fi 7,5.2,1.53,12,2089.99
Laptop,Lenovo,Lenovo Think DUM,2018,Windows,Gaming,Intel,Intel i5-13293,2,8,16,2.2,3.1,Intel,Arc A580,3,4,16,HDD,512,1,LED,16.0,2880x1800,165,56,65,0,Wi-Fi 5,5.0,1.33,12,1595.99
Laptop,Acer,Acer Air KEX,2023,Windows,Mainstream,Intel,Intel i5-12734,3,8,16,2.4,3.2,NVIDIA,RTX 30 60,2,6,16,NVMe,2048,1,Mini-LED,14.0,2560x1600,60,56,65,0,Wi-Fi 6,5.3,1.57,24,1556.99
Laptop,Gigabyte,Gigabyte Slim N8G,2019,Windows,Gaming,Intel,Intel i7-12500,4,12,24,2.6,3.6,NVIDIA,RTX 30 80,4,10,64,HDD,1024,2,IPS,14.0,1920x1080,144,56,180,0,Wi-Fi 6,5.2,1.87,24,2013.99
Desktop,Apple,Apple Station KFA,2024,macOS,Full-Tower,Apple,Apple M3 Max,1,6,6,2.4,3.4,Apple,Apple Integrated,1,4,8,Hybrid,512,3,Mini-LED,32.0,1920x1080,144,0,0,750,Wi-Fi 6E,5.0,7.0,24,1803.99
Laptop,HP,HP Nitro PH5,2019,Windows,2-in-1,Intel,Intel i5-13322,2,6,12,2.2,3.1,Intel,Arc A310,1,0,8,SSD,1024,1,LED,15.6,2560x1600,60,80,65,0,Wi-Fi 6,5.1,1.7,12,1051.99
Laptop,Lenovo,Lenovo Stealth 7WT,2019,macOS,Gaming,AMD,AMD Ryzen 3 3516,1,4,8,2.0,3.0,Intel,Arc A310,1,2,8,NVMe,1024,2,Mini-LED,14.0,2560x1600,90,80,90,0,Wi-Fi 6,5.3,0.97,12,1423.99
Laptop,Acer,Acer Pro G1N,2021,Windows,Mainstream,AMD,AMD Ryzen 7 7724,4,14,28,2.6,3.6,NVIDIA,RTX 40 70,3,8,32,SSD,256,1,IPS,15.6,2560x1600,165,70,65,0,Wi-Fi 6E,5.1,1.5,24,1747.99
Laptop,Lenovo,Lenovo Zen VUQ,2018,macOS,2-in-1,Intel,Intel i5-12649,3,8,16,2.4,3.4,AMD,RX 6000 70,3,8,32,NVMe,512,1,QLED,13.3,1920x1080,120,80,65,0,Wi-Fi 6E,5.2,1.82,12,2101.99
Laptop,Lenovo,Lenovo Legion O2C,2025,macOS,Ultrabook,AMD,AMD Ryzen 7 5686,4,14,28,2.6,3.4,Intel,Arc B580,3,0,32,Hybrid,256,1,QLED,14.0,2880x1800,120,56,90,0,Wi-Fi 6E,5.2,1.37,24,2092.99
Laptop,MSI,MSI Legion 90V,2020,Windows,Ultrabook,AMD,AMD Ryzen 7 5425,4,14,28,2.6,3.4,Intel,Arc A380,2,0,48,Hybrid,1024,1,IPS,15.6,1920x1080,60,60,90,0,Wi-Fi 6,5.0,1.5,48,1478.99
Desktop,Lenovo,Lenovo Forge EWA,2023,Windows,Micro-ATX,Intel,Intel i5-10784,2,6,12,2.6,3.6,NVIDIA,RTX 40 60,2,6,16,NVMe,512,2,Mini-LED,32.0,3440x1440,60,0,0,450,Wi-Fi 6,5.2,8.0,24,1433.99
Desktop,Razer,Razer Arena 2DR,2024,macOS,ATX,AMD,AMD Ryzen 5 7654,2,6,10,2.6,3.5,NVIDIA,RTX 40 60,2,6,16,NVMe,512,1,OLED,24.0,2560x1440,144,0,0,450,Wi-Fi 6E,4.2,8.0,24,2223.99
Laptop,ASUS,ASUS Creator QVY,2022,Windows,Mainstream,Intel,Intel i3-10962,1,4,8,2.0,3.1,NVIDIA,RTX 40 50,1,4,8,HDD,256,1,LED,14.0,2560x1600,120,70,65,0,Wi-Fi 6E,5.1,1.57,12,1213.99
Laptop,Samsung,Samsung Nitro V7G,2025,Windows,Gaming,AMD,AMD Ryzen 5 5602,2,6,12,2.2,3.2,NVIDIA,RTX 20 60,2,6,16,HDD,1024,1,IPS,13.3,1920x1080,165,70,65,0,Wi-Fi 6E,5.2,1.32,36,1520.99
Desktop,Dell,Dell Station IVV,2022,Windows,Micro-ATX,AMD,AMD Ryzen 7 4658,4,16,32,3.0,3.9,NVIDIA,RTX 30 80,4,10,64,NVMe,1024,1,IPS,32.0,2560x1440,90,0,0,750,Wi-Fi 6,5.0,5.0,24,2089.99
Laptop,MSI,MSI Slim CC4,2023,Windows,Mainstream,Intel,Intel i9-10699,6,24,48,3.0,4.0,NVIDIA,RTX 40 80 Ti,5,12,96,HDD,2048,2,OLED,15.6,1920x1080,120,50,120,0,Wi-Fi 7,5.0,1.7,12,3190.99
Laptop,Dell,Dell Zen 6EO,2023,Windows,Ultrabook,AMD,AMD Ryzen 7 6676,5,16,32,2.8,3.9,NVIDIA,RTX 20 80 Ti,5,12,104,NVMe,2048,1,OLED,15.6,2880x1800,120,80,180,0,Wi-Fi 6,4.2,1.7,12,3207.99
Laptop,Lenovo,Lenovo Pro 435,2025,Windows,Mainstream,AMD,AMD Ryzen 7 7266,4,12,22,2.6,3.5,NVIDIA,RTX 30 80 Ti,5,12,64,HDD,512,1,Mini-LED,15.6,2560x1600,120,70,180,0,Wi-Fi 5,5.0,1.7,24,2301.99
Laptop,Lenovo,Lenovo Legion MAP,2019,ChromeOS,Workstation,Intel,Intel i7-14156,5,16,32,2.8,3.8,Intel,Arc B700,4,2,64,NVMe,256,1,Mini-LED,17.3,1920x1080,120,70,120,0,Wi-Fi 6,5.2,1.64,24,2211.99
Desktop,MSI,MSI Pro 5F9,2022,Linux,Full-Tower,Intel,Intel i7-10798,5,16,32,3.2,4.1,Intel,Arc A770,5,6,96,NVMe,256,4,OLED,34.0,1920x1080,60,0,0,1000,Wi-Fi 5,5.3,11.0,12,2160.99
Laptop,Lenovo,Lenovo Zen 364,2019,macOS,Mainstream,AMD,AMD Ryzen 7 7996,4,14,28,2.6,3.4,NVIDIA,RTX 40 70,3,8,48,NVMe,1024,1,IPS,14.0,3840x2160,60,90,180,0,Wi-Fi 6,5.3,1.57,36,2500.99
Desktop,Lenovo,Lenovo Forge AO2,2019,Windows,ATX,Intel,Intel i9-10715,6,24,48,3.4,4.3,NVIDIA,RTX 30 90,6,16,128,NVMe,512,2,QLED,27.0,2560x1440,144,0,0,750,Wi-Fi 6E,5.1,5.0,12,2768.99
Desktop,HP,HP Creator RKU,2025,Windows,Micro-ATX,Intel,Intel i5-13138,3,10,20,2.8,3.7,NVIDIA,RTX 30 70,3,8,32,NVMe,512,2,OLED,32.0,1920x1080,60,0,0,750,Wi-Fi 7,5.3,7.0,24,1630.99
Desktop,MSI,MSI Strix V6K,2024,Windows,Mini-ITX,AMD,AMD Ryzen 5 5795,3,10,20,2.8,3.7,Apple,Apple Integrated,3,0,32,Hybrid,1024,3,OLED,32.0,3440x1440,144,0,0,1000,Wi-Fi 5,4.2,7.0,24,1875.99
Desktop,MSI,MSI Pro TWI,2023,Windows,Micro-ATX,Intel,Intel i7-12124,4,14,28,3.0,4.0,NVIDIA,RTX 40 80,4,10,64,SSD,256,2,OLED,32.0,2560x1440,60,0,0,1000,Wi-Fi 6E,5.2,13.0,24,2500.99
Desktop,HP,HP Strix DDP,2025,Windows,Micro-ATX,AMD,AMD Ryzen 5 7181,3,8,16,2.8,3.7,NVIDIA,RTX 30 80,4,10,32,NVMe,4096,3,LED,32.0,2560x1440,60,0,0,1000,Wi-Fi 6,5.2,9.0,24,2069.99
Laptop,MSI,MSI Nitro SNQ,2023,Windows,Mainstream,Intel,Intel i3-13819,1,4,8,2.0,3.1,Intel,Arc B380,2,6,8,NVMe,2048,2,LED,14.0,2560x1600,60,90,90,0,Wi-Fi 6,5.2,1.87,24,1628.99
Desktop,Lenovo,Lenovo Cube FMT,2022,Windows,Micro-ATX,Intel,Intel i7-14929,5,16,32,3.2,4.2,NVIDIA,RTX 30 80 Ti,5,12,96,NVMe,256,2,OLED,24.0,2560x1440,60,0,0,550,Wi-Fi 6E,4.2,4.0,12,2635.99
Laptop,Gigabyte,Gigabyte Slim MPB,2024,Windows,Ultrabook,AMD,AMD Ryzen 5 7508,2,8,16,2.2,3.1,AMD,RX 5000 50,1,4,8,NVMe,1024,1,LED,16.0,2560x1600,120,70,90,0,Wi-Fi 6,5.3,1.33,12,1634.99
Desktop,MSI,MSI Cube MOL,2018,macOS,ATX,AMD,AMD Ryzen 5 6955,3,8,16,2.8,3.6,NVIDIA,RTX 40 70,3,8,32,Hybrid,2048,2,VA,24.0,1920x1080,60,0,0,550,Wi-Fi 5,5.2,10.0,36,1484.99
Desktop,HP,HP Strix FY3,2021,Windows,ATX,Intel,Intel i7-14436,4,12,24,3.0,3.9,NVIDIA,RTX 30 70,3,8,40,SSD,2048,1,Mini-LED,24.0,3440x1440,60,0,0,650,Wi-Fi 6,5.2,8.0,24,1842.99
Laptop,MSI,MSI Legion 78S,2022,Windows,Mainstream,Intel,Intel i3-11280,1,6,12,2.0,3.0,Apple,Apple Integrated,1,4,8,SSD,512,1,VA,15.6,3840x2160,60,50,120,0,Wi-Fi 6E,5.3,2.5,36,1375.99
Laptop,Gigabyte,Gigabyte Zen 92A,2024,Windows,Mainstream,Intel,Intel i7-11664,4,12,24,2.6,3.7,NVIDIA,RTX 30 80,4,10,64,SSD,512,1,Mini-LED,15.6,1920x1080,90,60,65,0,Wi-Fi 6E,4.2,2.5,12,2030.99
Laptop,Samsung,Samsung Slim PRS,2023,Windows,Ultrabook,Intel,Intel i7-10351,4,14,28,2.6,3.4,NVIDIA,RTX 20 60,2,6,32,NVMe,1024,2,LED,15.6,1920x1080,60,60,120,0,Wi-Fi 6E,5.0,1.5,12,1857.99
Laptop,Lenovo,Lenovo Legion X3V,2020,Windows,Gaming,AMD,AMD Ryzen 7 7972,4,12,24,2.6,3.6,NVIDIA,RTX 40 80,4,10,64,Hybrid,2048,1,Mini-LED,14.0,2880x1800,144,70,90,0,Wi-Fi 5,5.2,1.17,36,2561.99
Laptop,Lenovo,Lenovo Legion JQV,2021,Windows,Mainstream,Intel,Intel i5-14368,2,6,12,2.2,3.3,NVIDIA,RTX 30 60,2,6,16,NVMe,2048,1,Mini-LED,14.0,1920x1080,90,70,120,0,Wi-Fi 6,5.3,1.57,24,1597.99
Laptop,Dell,Dell Nitro RO1,2025,ChromeOS,Gaming,AMD,AMD Ryzen 7 4706,5,18,36,2.8,3.6,AMD,RX 7000 90,6,16,104,SSD,2048,2,LED,16.0,2560x1600,120,70,45,0,Wi-Fi 5,5.0,1.73,24,3058.99
Laptop,Lenovo,Lenovo Zen HS8,2024,Windows,Mainstream,AMD,AMD Ryzen 7 5940,4,14,28,2.6,3.7,NVIDIA,RTX 30 70,3,8,32,NVMe,1024,1,QLED,15.6,1920x1080,144,90,45,0,Wi-Fi 6E,5.0,1.7,24,2047.99
Laptop,MSI,MSI Nitro AXG,2024,macOS,Gaming,Intel,Intel i7-10701,4,14,28,2.6,3.5,NVIDIA,RTX 30 80,4,10,64,NVMe,512,1,VA,16.0,2560x1600,165,70,45,0,Wi-Fi 6E,5.1,1.73,12,2835.99
Laptop,HP,HP Creator 8RQ,2024,Windows,Ultrabook,AMD,AMD Ryzen 5 6701,2,6,12,2.2,3.0,AMD,RX 7000 60,2,6,16,NVMe,512,2,LED,13.3,1920x1080,90,70,45,0,Wi-Fi 6E,5.3,2.32,24,1561.99
Laptop,MSI,MSI Blade D9P,2020,macOS,Mainstream,Intel,Intel i3-14159,1,4,8,2.0,2.8,NVIDIA,RTX 30 50,1,4,8,NVMe,1024,1,LED,14.0,1920x1080,240,70,120,0,Wi-Fi 5,5.0,1.87,24,1325.99
Laptop,ASUS,ASUS Air 5MX,2025,Windows,Mainstream,Intel,Intel i9-13644,6,24,48,3.0,3.9,AMD,RX 6000 80 XT,5,12,96,SSD,1024,1,LED,15.6,3840x2160,60,60,45,0,Wi-Fi 6,5.3,2.0,24,3107.99
Laptop,Dell,Dell Think 7WT,2021,macOS,2-in-1,Intel,Intel i5-13992,2,6,12,2.2,3.3,NVIDIA,RTX 40 50,1,4,8,SSD,512,1,LED,13.3,1920x1080,60,50,45,0,Wi-Fi 6E,5.3,1.12,12,1468.99
Laptop,MSI,MSI Nitro LY8,2023,Windows,Workstation,AMD,AMD Ryzen 7 3123,4,14,28,2.6,3.6,NVIDIA,RTX 40 80,4,10,64,SSD,2048,1,LED,14.0,1920x1080,165,70,120,0,Wi-Fi 6E,4.2,1.37,24,2473.99
Desktop,Samsung,Samsung Creator HZC,2025,Windows,ATX,Intel,Intel i5-11913,3,8,16,2.8,3.9,NVIDIA,RTX 40 70,3,8,40,HDD,2048,2,OLED,34.0,1920x1080,60,0,0,550,Wi-Fi 6,5.0,10.0,36,1429.99
Laptop,Lenovo,Lenovo Legion QYZ,2020,Windows,Gaming,Intel,Intel i7-11634,4,12,24,2.6,3.5,Intel,Arc A770,5,4,72,Hybrid,2048,1,LED,16.0,3840x2160,60,80,90,0,Wi-Fi 6,5.0,1.13,12,2471.99
Laptop,ASUS,ASUS Pro SAO,2022,Windows,Mainstream,Intel,Intel i3-10560,1,6,12,2.0,3.0,NVIDIA,RTX 30 50,1,4,8,SSD,1024,1,QLED,15.6,1920x1080,144,80,90,0,Wi-Fi 6E,5.0,1.5,12,1452.99
Laptop,HP,HP Creator PXF,2022,Windows,Gaming,AMD,AMD Ryzen 7 6582,4,12,24,2.6,3.7,NVIDIA,RTX 20 70,3,8,48,NVMe,512,1,OLED,13.3,2560x1600,144,70,65,0,Wi-Fi 6E,5.1,1.32,36,2595.99
Desktop,Samsung,Samsung Pro S8Q,2024,Windows,Full-Tower,Intel,Intel i5-11279,3,8,16,2.8,3.7,NVIDIA,RTX 20 70,3,8,32,NVMe,256,1,LED,24.0,1920x1080,120,0,0,550,Wi-Fi 6,5.0,8.0,24,1224.99
Laptop,Dell,Dell Pro P6D,2024,Windows,Mainstream,Intel,Intel i5-11128,3,8,16,2.4,3.3,Intel,Arc B310,1,0,16,SSD,256,1,LED,14.0,1920x1080,60,56,90,0,Wi-Fi 6,5.1,0.97,24,1065.99
Laptop,Apple,Apple Nitro CCB,2022,macOS,Gaming,Apple,Apple M2,4,12,12,2.6,3.7,Apple,Apple Integrated,3,0,32,NVMe,2048,1,LED,14.0,2560x1600,60,56,45,0,Wi-Fi 6,5.3,1.17,36,2613.99
Laptop,Lenovo,Lenovo Stealth E0A,2021,Windows,Mainstream,AMD,AMD Ryzen 5 4449,3,8,16,2.4,3.3,AMD,RX 7000 60,2,6,16,HDD,1024,1,LED,14.0,2560x1600,60,50,65,0,Wi-Fi 6,5.1,1.87,12,1527.99
Laptop,Samsung,Samsung Legion J85,2023,Windows,2-in-1,Intel,Intel i5-11371,2,6,12,2.2,3.3,NVIDIA,RTX 30 50,1,4,8,SSD,512,1,Mini-LED,13.3,1920x1080,120,80,120,0,Wi-Fi 5,5.2,1.32,24,1344.99
Laptop,Lenovo,Lenovo Legion 16W,2022,ChromeOS,Mainstream,Intel,Intel i5-14399,3,8,16,2.4,3.3,AMD,RX 6000 60,2,6,16,NVMe,512,1,Mini-LED,16.0,2560x1600,60,70,65,0,Wi-Fi 7,5.2,1.73,36,1482.99
Desktop,Apple,Apple Pro EAJ,2022,macOS,Mini-ITX,Apple,Apple M2 Max,3,10,10,2.8,3.6,Apple,Apple Integrated,4,0,32,NVMe,1024,1,LED,24.0,3440x1440,144,0,0,750,Wi-Fi 6E,4.2,13.0,24,2740.99
Desktop,Lenovo,Lenovo Cube 2WL,2021,macOS,SFF,AMD,AMD Ryzen 7 4773,5,18,36,3.2,4.2,AMD,RX 7000 80 XT,5,12,96,HDD,1024,2,QLED,32.0,1920x1080,60,0,0,1000,Wi-Fi 6E,5.3,5.0,24,2084.99
Laptop,ASUS,ASUS Nitro ZE0,2023,Windows,Gaming,AMD,AMD Ryzen 9 3249,6,24,48,3.0,3.8,Apple,Apple Integrated,6,0,128,HDD,1024,1,OLED,15.6,2880x1800,144,60,90,0,Wi-Fi 6E,5.2,1.5,24,4097.99
Laptop,Lenovo,Lenovo Creator 39H,2021,Linux,Ultrabook,Intel,Intel i7-12201,4,12,24,2.6,3.6,Apple,Apple Integrated,4,6,64,NVMe,1024,1,LED,13.3,1920x1080,144,80,65,0,Wi-Fi 7,5.1,1.82,24,2016.99
Laptop,Lenovo,Lenovo Blade GBQ,2024,Windows,Ultrabook,Intel,Intel i7-12944,4,12,24,2.6,3.4,NVIDIA,RTX 20 80,4,10,64,NVMe,256,1,Mini-LED,15.6,2560x1600,120,80,65,0,Wi-Fi 5,5.3,1.5,12,2553.99
Desktop,Apple,Apple Cube 7NU,2023,Windows,Mini-ITX,Apple,Apple M1 Pro,2,6,6,2.6,3.4,Apple,Apple Integrated,1,0,8,Hybrid,512,3,LED,32.0,1920x1080,120,0,0,850,Wi-Fi 6E,5.3,7.0,24,1346.99
Desktop,Samsung,Samsung Cube RPT,2022,Windows,ATX,Intel,Intel i7-12761,5,16,32,3.2,4.2,Apple,Apple Integrated,4,0,64,HDD,256,1,IPS,32.0,3440x1440,90,0,0,650,Wi-Fi 6,5.0,6.0,24,2076.99
Laptop,MSI,MSI Legion OPZ,2019,Windows,2-in-1,Intel,Intel i7-14140,4,14,28,2.6,3.7,NVIDIA,RTX 30 70,3,8,32,SSD,1024,1,IPS,15.6,1920x1080,120,80,45,0,Wi-Fi 6,5.1,1.5,36,1765.99
Laptop,HP,HP Legion KHL,2024,Windows,Gaming,Intel,Intel i7-12128,4,12,24,2.6,3.5,NVIDIA,RTX 20 70,3,8,32,NVMe,256,1,IPS,14.0,1920x1080,144,99,120,0,Wi-Fi 6,5.2,1.87,36,2314.99
Laptop,Dell,Dell Slim DAZ,2020,Windows,Mainstream,Intel,Intel i7-14249,4,14,28,2.6,3.6,Intel,Arc B380,2,2,32,NVMe,512,1,OLED,14.0,3840x2160,90,70,90,0,Wi-Fi 5,5.0,2.37,24,2027.99
Desktop,Dell,Dell Cube 1CO,2023,Windows,Micro-ATX,Intel,Intel i7-12653,4,12,24,3.0,4.0,NVIDIA,RTX 40 70,3,8,40,HDD,1024,2,VA,27.0,1920x1080,60,0,0,750,Wi-Fi 6,5.3,7.0,24,1420.99
Laptop,Dell,Dell Nitro S9G,2022,Windows,Ultrabook,AMD,AMD Ryzen 7 4508,5,16,32,2.8,3.7,AMD,RX 7000 90,6,16,112,NVMe,2048,1,LED,16.0,2560x1600,60,70,120,0,Wi-Fi 6,5.1,1.53,24,2654.99
Laptop,ASUS,ASUS Think 2PO,2025,Linux,Mainstream,Intel,Intel i5-11616,3,8,16,2.4,3.4,NVIDIA,RTX 30 70,3,8,32,NVMe,4096,1,LED,14.0,1920x1080,60,70,90,0,Wi-Fi 6,5.2,0.97,24,1741.99
Laptop,Acer,Acer Air 1O5,2025,Windows,2-in-1,AMD,AMD Ryzen 5 3121,3,8,16,2.4,3.4,NVIDIA,RTX 30 70,3,8,48,NVMe,256,1,LED,14.0,2560x1600,60,50,65,0,Wi-Fi 5,5.1,1.57,12,1826.99
Laptop,Lenovo,Lenovo Air JMF,2021,Windows,Gaming,Intel,Intel i7-13455,5,16,32,2.8,3.8,AMD,RX 7000 90,6,16,96,NVMe,2048,1,LED,14.0,1920x1080,120,70,65,0,Wi-Fi 6E,5.1,1.87,24,2951.99
Desktop,Samsung,Samsung Cube SSK,2023,macOS,ATX,AMD,AMD Ryzen 7 6397,4,12,24,3.0,4.0,AMD,RX 7000 80 XT,5,12,64,NVMe,1024,1,IPS,27.0,3840x2160,144,0,0,650,Wi-Fi 6,5.1,12.0,36,2463.99
Laptop,MSI,MSI Zen 07G,2025,macOS,Mainstream,AMD,AMD Ryzen 9 5571,6,24,48,3.0,4.1,NVIDIA,RTX 40 80 Ti,5,12,96,NVMe,2048,1,OLED,15.6,1920x1080,120,80,90,0,Wi-Fi 6,5.1,1.5,48,3128.99
Laptop,Samsung,Samsung Slim QG1,2022,Windows,Mainstream,AMD,AMD Ryzen 7 5286,5,16,32,2.8,3.7,AMD,RX 7000 80 XT,5,12,96,NVMe,512,1,QLED,15.6,2560x1600,120,80,90,0,Wi-Fi 6,5.1,1.5,12,2781.99
Desktop,Lenovo,Lenovo Forge TBL,2018,Windows,SFF,AMD,AMD Ryzen 5 7985,3,10,20,2.8,3.8,Intel,Arc A700,4,4,32,NVMe,512,2,LED,32.0,1920x1080,120,0,0,650,Wi-Fi 7,4.2,8.0,24,1449.99
Desktop,MSI,MSI Cube YU3,2024,macOS,ATX,AMD,AMD Ryzen 3 3384,1,6,10,2.4,3.3,NVIDIA,RTX 30 50,1,4,8,SSD,256,1,QLED,24.0,2560x1440,60,0,0,550,Wi-Fi 6,5.1,6.0,24,1300.99
Desktop,ASUS,ASUS Station MOU,2019,Windows,ATX,AMD,AMD Ryzen 7 7365,4,14,28,3.0,4.1,NVIDIA,RTX 20 80 Ti,5,12,64,NVMe,512,3,Mini-LED,32.0,1920x1080,60,0,0,850,Wi-Fi 5,5.0,7.0,36,1924.99
Desktop,Acer,Acer Arena 1HM,2023,Windows,ATX,AMD,AMD Ryzen 7 3406,5,20,40,3.2,4.0,NVIDIA,RTX 20 80,4,10,64,NVMe,512,3,IPS,24.0,2560x1440,120,0,0,750,Wi-Fi 6,5.0,5.0,12,1936.99
Laptop,Acer,Acer Air HG6,2020,Windows,Workstation,AMD,AMD Ryzen 5 4273,2,6,12,2.2,3.1,NVIDIA,RTX 30 60,2,6,16,NVMe,256,1,LED,15.6,1920x1080,144,60,45,0,Wi-Fi 7,5.2,1.5,12,1356.99
Laptop,HP,HP Legion VCJ,2021,Windows,Mainstream,Intel,Intel i7-13380,4,12,24,2.6,3.7,NVIDIA,RTX 40 70,3,8,32,NVMe,1024,1,QLED,14.0,1920x1080,120,60,120,0,Wi-Fi 5,5.0,2.87,48,1817.99
Laptop,Samsung,Samsung Creator YOO,2024,Windows,Mainstream,Intel,Intel i5-13564,3,8,16,2.4,3.4,NVIDIA,RTX 40 60,2,6,16,HDD,2048,1,OLED,13.3,1920x1080,60,60,65,0,Wi-Fi 6,4.2,1.12,24,1768.99
Desktop,HP,HP Pro KJK,2019,Windows,Full-Tower,AMD,AMD Ryzen 5 3878,2,6,12,2.6,3.5,Intel,Arc A380,2,2,24,SSD,1024,2,LED,32.0,3840x2160,144,0,0,750,Wi-Fi 6,5.0,9.0,12,1692.99
Desktop,Acer,Acer Strix JQK,2023,Windows,Mini-ITX,Intel,Intel i5-14225,3,8,16,2.8,3.6,NVIDIA,RTX 40 70,3,8,32,NVMe,512,2,LED,27.0,1920x1080,144,0,0,650,Wi-Fi 6,5.3,10.0,12,1370.99
Laptop,ASUS,ASUS Air D3I,2020,Windows,Ultrabook,AMD,AMD Ryzen 7 7734,4,12,24,2.6,3.5,AMD,RX 7000 80,4,10,64,SSD,256,1,QLED,14.0,2560x1600,60,60,90,0,Wi-Fi 6,5.2,1.37,24,2162.99
